
 | 
43101109 |  290,084.62
43101109 |  290,084.62
44000000 |  240.65
44000000 |  240.65
44500000 |  240.65
44500000 |  240.65
44502000 |  239.94
44502100 |  71.50
44502101 |  71.50
44502200 |  168.44
44502201 |  168.44
44502201 |  168.44
44599000 |  .71
44599100 |  .71
44599102 |  .68
44599105 |  .03
44599105 |  .03
45000000 |  507,278.23
45000000 |  507,278.23
45100000 |  342,364.73
45100000 |  342,364.73
45101000 |  17,400.00
45101100 |  17,400.00
45101102 |  7,500.00
45101103 |  4,500.00
45101103 |  4,500.00
45101103 |  4,500.00
 | 
Codigo |  Saldo
45101104 |  2,700.00
45101105 |  2,700.00
45101105 |  2,700.00
45102000 |  200,274.35
45102100 |  200,274.35
45102102 |  183,896.75
45102103 |  16,377.60
45102103 |  16,377.60
45106000 |  30,550.96
45106100 |  30,550.96
45106102 |  15,275.48
45106104 |  15,275.48
45106104 |  15,275.48
45107000 |  1,433.15
45107100 |  1,433.15
45107101 |  1,433.15
45107101 |  1,433.15
45108000 |  10,000.00
45108100 |  10,000.00
45108102 |  10,000.00
45108102 |  10,000.00
45109000 |  14,132.61
45109100 |  14,132.61
45109101 |  14,132.61
45109101 |  14,132.61
45112000 |  29,750.00
45112100 |  29,750.00
45112105 |  29,750.00
45112105 |  29,750.00
45115000 |  33,465.85
45115100 |  33,465.85
45115101 |  20,027.44
45115102 |  4,005.49
45115103 |  3,116.89
45115104 |  307.80
45115105 |  6,008.23
45115105 |  6,008.23
45117000 |  4,978.81
45117100 |  4,978.81
45117101 |  4,978.81
45117101 |  4,978.81
45119000 |  379.00
45119100 |  379.00
45119101 |  379.00
45119101 |  379.00
45200000 |  42,110.31
45200000 |  42,110.31
45202000 |  9,900.00
45202100 |  9,900.00
45202102 |  9,100.00
45202103 |  800.00
45202103 |  800.00
45204000 |  6,380.00
45204100 |  6,380.00
45204101 |  6,380.00
45204101 |  6,380.00
45204101 |  6,380.00
 | 
Codigo |  Saldo
Codigo |  Saldo
45206000 |  14,500.00
45206100 |  14,500.00
45206101 |  14,500.00
45206101 |  14,500.00
45299000 |  11,330.31
45299100 |  11,330.31
45299101 |  3,792.00
45299103 |  1,274.31
45299104 |  6,264.00
45299104 |  6,264.00
45300000 |  13,996.91
45300000 |  13,996.91
45303000 |  712.63
45303200 |  712.63
45303201 |  712.63
45303201 |  712.63
45306000 |  288.60
45306200 |  288.60
45306201 |  20.44
45306202 |  268.16
45306202 |  268.16
45399000 |  12,995.68
45399100 |  8,972.52
45399104 |  8,972.52
45399200 |  4,023.16
45399201 |  224.13
45399203 |  3,567.64
45399204 |  231.39
45399204 |  231.39
45400000 |  10,055.70
45400000 |  10,055.70
45401000 |  308.00
45401100 |  308.00
45401101 |  308.00
45401101 |  308.00
45404000 |  5,095.87
45404100 |  5,095.87
45404102 |  4,757.40
45404103 |  338.47
45404103 |  338.47
45406000 |  1,260.03
45406100 |  1,260.03
45406101 |  1,260.03
45406101 |  1,260.03
45499000 |  3,391.80
45499100 |  3,391.80
45499101 |  1,070.00
45499103 |  321.80
45499104 |  2,000.00
45499104 |  2,000.00
45500000 |  31,367.23
45500000 |  31,367.23
45500000 |  31,367.23
45500000 |  31,367.23
 | 
Codigo |  Saldo
45502000 |  31,248.00
45502100 |  31,248.00
45502101 |  31,248.00
45502101 |  31,248.00
45599000 |  119.23
45599100 |  119.23
45599103 |  119.23
45599103 |  119.23
45600000 |  642.44
45600000 |  642.44
45602000 |  200.00
45602100 |  200.00
45602102 |  200.00
45602102 |  200.00
45699000 |  442.44
45699100 |  442.44
45699101 |  442.44
45699101 |  442.44
45700000 |  19,304.05
45700000 |  19,304.05
45702000 |  7,317.89
45702100 |  7,317.89
45702101 |  7,317.89
45702101 |  7,317.89
45703000 |  1,544.02
45703100 |  1,544.02
45703101 |  1,544.02
45703101 |  1,544.02
45704000 |  2,918.69
45704100 |  2,918.69
45704101 |  2,918.69
45704101 |  2,918.69
45705000 |  7,523.45
45705100 |  7,523.45
45705101 |  7,523.45
45705101 |  7,523.45
45800000 |  2,926.05
45800000 |  2,926.05
45802000 |  751.05
45802100 |  751.05
45802101 |  751.05
45802101 |  751.05
45805000 |  2,175.00
45805100 |  2,175.00
45805101 |  2,175.00
45805101 |  2,175.00
45900000 |  44,510.81
45900000 |  44,510.81
45901000 |  870.00
45901100 |  870.00
45901102 |  870.00
45901102 |  870.00
45901102 |  870.00
45901102 |  870.00
 | 
Codigo |  Saldo
45902000 |  28,000.00
45902100 |  28,000.00
45902101 |  28,000.00
45902101 |  28,000.00
45903000 |  3,006.90
45903100 |  3,006.90
45903101 |  3,006.90
45903101 |  3,006.90
45904000 |  5,641.61
45904100 |  5,641.61
45904101 |  2,728.83
45904102 |  959.78
45904106 |  1,315.00
45904107 |  638.00
45904107 |  638.00
45913000 |  683.00
45913100 |  683.00
45913101 |  683.00
45913101 |  683.00
45999000 |  6,309.30
45999100 |  6,309.30
45999101 |  5,280.30
45999107 |  289.00
45999113 |  30.00
45999114 |  30.00
45999115 |  120.00
45999118 |  560.00
45999118 |  560.00
46000000 |  130,821.00
46000000 |  130,821.00
46100000 |  130,821.00
46100000 |  130,821.00
46101000 |  130,821.00
46101100 |  130,821.00
46101101 |  130,821.00
46101101 |  130,821.00
48000000 |  68.00
48000000 |  68.00
48100000 |  68.00
48100000 |  68.00
48101000 |  68.00
48101100 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
48101101 |  68.00
 | 
Codigo |  Saldo
50000000 |  (2,035,679.62)
50000000 |  (2,035,679.62)
51000000 |  (1,251,903.77)
51000000 |  (1,251,903.77)
51200000 |  (2,032.01)
51200000 |  (2,032.01)
51202000 |  (2,032.01)
51202100 |  (2,032.01)
51202104 |  (2,032.01)
51202104 |  (2,032.01)
51300000 |  (1,240,034.26)
51300000 |  (1,240,034.26)
51305000 |  (967,301.46)
51305100 |  (967,301.46)
51305101 |  (22,553.68)
51305102 |  (154,646.28)
51305103 |  (437,963.72)
51305109 |  (352,137.78)
51305109 |  (352,137.78)
51310000 |  (269,088.73)
51310100 |  (269,088.73)
51310101 |  (269,088.73)
51310101 |  (269,088.73)
51355000 |  (3,087.48)
51355100 |  (3,087.48)
51355109 |  (3,087.48)
51355109 |  (3,087.48)
51360000 |  (556.59)
51360100 |  (556.59)
51360101 |  (556.59)
51360101 |  (556.59)
51500000 |  (9,837.50)
51500000 |  (9,837.50)
51501000 |  (8,773.57)
51501100 |  (8,773.57)
51501102 |  (2,452.48)
51501103 |  (4,688.90)
51501109 |  (1,632.19)
51501109 |  (1,632.19)
51502000 |  (466.45)
51502100 |  (466.45)
51502109 |  (466.45)
51502109 |  (466.45)
51503000 |  (597.48)
51503100 |  (597.48)
51503101 |  (597.48)
51503101 |  (597.48)
53000000 |  (765,182.37)
53000000 |  (765,182.37)
53100000 |  (21,326.63)
53100000 |  (21,326.63)
53101000 |  (20,826.78)
53101000 |  (20,826.78)
53101000 |  (20,826.78)
 | 
Codigo |  Saldo
53101100 |  (20,826.78)
53101101 |  (3,251.42)
53101102 |  (9,786.15)
53101103 |  (2,285.82)
53101106 |  (673.97)
53101108 |  (187.85)
53101109 |  (4,641.57)
53101109 |  (4,641.57)
53102000 |  (499.85)
53102100 |  (499.85)
53102102 |  (499.85)
53102102 |  (499.85)
53200000 |  (743,855.74)
53200000 |  (743,855.74)
53201000 |  (743,855.74)
53201100 |  (743,855.74)
53201101 |  (4,054.72)
53201102 |  (114,618.77)
53201103 |  (190,997.98)
53201104 |  (150,096.24)
53201109 |  (284,088.03)
53201109 |  (284,088.03)
54000000 |  (18,593.48)
54000000 |  (18,593.48)
54100000 |  (8,560.19)
54100000 |  (8,560.19)
54199000 |  (8,560.19)
54199100 |  (8,560.19)
54199105 |  (5,317.09)
54199110 |  (1,117.08)
54199116 |  (266.57)
54199118 |  (101.09)
54199123 |  .96)
54199124 |  (859.56)
54199125 |  (847.38)
54199126 |  (41.76)
54199127 |  (8.70)
54199127 |  (8.70)
54200000 |  .00
54200000 |  .00
54201000 |  .00
54201200 |  .00
54201201 |  .00
54201201 |  .00
54300000 |  (2,454.50)
54300000 |  (2,454.50)
54304000 |  (2,454.50)
54304100 |  (2,454.50)
54304101 |  (2,454.50)
54304101 |  (2,454.50)
54500000 |  (7,578.79)
54500000 |  (7,578.79)
54500000 |  (7,578.79)
 | 
Codigo |  Saldo
Codigo |  Saldo
54506000 |  (53.29)
54506100 |  (53.29)
54506101 |  (53.29)
54506101 |  (53.29)
54507000 |  (7,524.00)
54507100 |  (7,524.00)
54507101 |  (7,524.00)
54507101 |  (7,524.00)
54599000 |  (1.50)
54599100 |  (1.50)
54599104 |  (1.42)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
54599105 |  .08)
 | 
Codigo |  Saldo
80000000 |  36,741,582.72
80000000 |  36,741,582.72
85000000 |  36,169,404.74
85000000 |  36,169,404.74
85100000 |  20,227,444.40
85100000 |  20,227,444.40
85101000 |  10,138,370.76
85101100 |  10,138,370.76
85101101 |  4,531,340.91
85101102 |  350,950.78
85101106 |  5,256,079.07
85101106 |  5,256,079.07
85102000 |  385,282.00
85102100 |  385,282.00
85102106 |  72,030.00
85102107 |  313,252.00
85102107 |  313,252.00
85103000 |  9,703,791.64
85103100 |  9,703,791.64
85103111 |  9,703,791.64
85103111 |  9,703,791.64
85300000 |  13,864,608.32
85300000 |  13,864,608.32
85302000 |  9,035,324.35
85302100 |  9,035,324.35
85302101 |  9,035,324.35
85302101 |  9,035,324.35
85303000 |  4,829,283.97
85303100 |  4,829,283.97
85303101 |  4,829,283.97
85303101 |  4,829,283.97
85900000 |  2,077,352.02
85900000 |  2,077,352.02
85901000 |  2,077,352.02
85901100 |  2,077,352.02
85901104 |  2,077,352.02
85901104 |  2,077,352.02
86000000 |  572,177.98
86000000 |  572,177.98
86400000 |  6.00
86400000 |  6.00
86404000 |  6.00
86404100 |  6.00
86404101 |  6.00
86404101 |  6.00
86500000 |  563,883.57
86500000 |  563,883.57
86501000 |  563,883.57
86501100 |  563,883.57
86501101 |  51,820.29
86501102 |  10,416.86
86501102 |  10,416.86
86501102 |  10,416.86
 | 
Codigo |  Saldo
86501103 |  362,664.88
86501104 |  65,678.82
86501106 |  4,420.95
86501108 |  20,186.00
86501109 |  48,695.77
86501109 |  48,695.77
86600000 |  6,353.83
86600000 |  6,353.83
86601000 |  .00
86601100 |  .00
86601102 |  .00
86601102 |  .00
86603000 |  6,353.83
86603100 |  6,353.83
86603102 |  .00
86603103 |  6,353.83
86603104 |  .00
86603109 |  .00
86603109 |  .00
86900000 |  1,934.58
86900000 |  1,934.58
86999000 |  1,934.58
86999100 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
86999108 |  1,934.58
 | 
Codigo |  Saldo
90000000 |  (36,741,582.72)
